Product/Company,Product/Company URL,Date/Source,Environmental Claims/Allegations,Year,channel,quote,claim_type,sub_category,plaintiff_law_firm,defendant_type,industry_sector,claim_location,certification_misuse,state_law_cited,relief_sought,jurisdiction,current_status,settlement_amount,ruling_date,ruling_pdf_url,ruling_description,case_name,court,docket_number,key_dates,summary,sources,verified_independently,confidence,research_error
Up & Up Sports Sunscreen Spray,https://truthinadvertising.org/class-action/up-up-sport-sunscreen-spray-2/,May/class action,Reef-Conscious Formula,2024,packaging,reef-conscious formula,ingredients sourcing,Marine,Sheehan & Associates P.C.,corporation,cosmetics & personal care,front of pack,none,New York GBL 349,damages; attorney fees,"U.S. District Court, Eastern District of New York",pending,,,,"No specific rulings found for the 2024 Eastern District of New York case; however, a similar case (Tivin v. Target Corp.) was filed in 2023 in the Southern District of Florida",Case information unclear - multiple similar cases found including Tivin v. Target Corp.,Multiple courts handling similar cases - Southern District of Florida (Case No. 0:23-cv-62245) and potentially Eastern District of New York,"0:23-cv-62245 (Florida case), Eastern District of New York case number not found",Tivin v. Target Corp filed in 2023; similar case referenced as filed in 2024,"<cite index=""1-10,1-12,1-13"">Multiple class action lawsuits have been filed against Target alleging that its Up & Up brand sunscreen is falsely advertised as ""reef-conscious"" when it contains chemicals harmful to coral reefs</cite>. <cite index=""2-21,2-22"">The lawsuits claim Target and Fruit of the Earth have attempted to gain competitive advantage by falsely labeling products as ""reef-conscious"" while using less expensive, harmful chemicals</cite>. <cite index=""1-7"">The main identifiable case is Tivin v. Target Corp., Case No. 0:23-cv-62245, filed in the U.S. District Court for the Southern District of Florida</cite>.",https://topclassactions.com/lawsuit-settlements/consumer-products/beauty-products/class-action-alleges-target-reef-conscious-sunscreen-contains-ingredients-dangerous-to-coral-reefs/ | https://www.classaction.org/news/class-action-alleges-target-falsely-advertised-up-and-up-sunscreen-as-reef-conscious | https://truthinadvertising.org/class-action/up-up-sport-sunscreen-spray/ | https://www.flsd.uscourts.gov/records,TRUE,medium,
Equate Sports Sunscreen Spray,https://truthinadvertising.org/class-action/equate-sport-sunscreen-spray/,May/class action,Reef Friendly,2024,packaging,Reef Friendly,ingredients sourcing,Marine,Sheehan & Associates P.C.,corporation,cosmetics & personal care,front of pack,none,New York GBL 349,damages; injunction; attorney fees,"U.S. District Court, Eastern District of New York",voluntarily_dismissed,,19/02/2025,,Plaintiffs agreed to discontinue their claims against Walmart. The filing did not specify the reason for the lawsuit's dismissal.,Nicole Argenzio v. Walmart Inc.,"U.S. District Court for the Eastern District of New York, Central Islip",2:24-cv-03302,"Filed May 3, 2024; Dismissed February 19, 2025","The class action lawsuit alleging Walmart's Equate sunscreen was falsely marketed as 'reef friendly' despite containing harmful chemicals has been voluntarily dismissed. The plaintiffs discontinued their claims in February 2025, though the specific reason for dismissal was not disclosed in court filings.",https://topclassactions.com/lawsuit-settlements/consumer-products/household/walmart-class-action-claims-reef-friendly-sunscreen-actually-harmful-to-coral-reefs/ | https://www.classaction.org/news/class-action-lawsuit-claims-walmart-falsely-advertised-equate-sunscreen-as-reef-friendly | https://legalnewsline.com/stories/658791129-lawyer-tries-new-york-for-lawsuit-over-reef-conscious-sunscreen | https://legalnewsline.com/stories/657650661-walmart-defends-sunscreen-as-reef-friendly,TRUE,high,
Sound Body Sport Sunscreen Spray,https://truthinadvertising.org/class-action/sound-body-sport-sunscreen-spray/,May/class action,Reef Conscious,2024,packaging,Reef Conscious,ingredients sourcing,Marine,Sheehan & Associates P.C.,corporation,cosmetics & personal care,front of pack,none,New York GBL 349,damages; attorney fees,"U.S. District Court, Eastern District of New York",pending,,,,,Bellomo et al. v. Big Lots Inc.,U.S. District Court for the Eastern District of New York,2:2024cv03480,"Filed: May 12, 2024",This is a class action lawsuit filed in May 2024 against Big Lots Inc. alleging misleading marketing of Sound Body Sport Sunscreen Spray products as 'reef conscious' when they allegedly contain ingredients harmful to coral reefs. The case appears to still be in early stages with no major rulings or settlements found as of January 2025.,https://truthinadvertising.org/class-action/sound-body-sport-sunscreen-spray/ | https://dockets.justia.com/docket/new-york/nyedce/2:2024cv03480/515009,TRUE,medium,
Enfamil Infant Formulas,https://truthinadvertising.org/class-action/several-enfamil-formulas/,May/class action,Committed to reducing environmental impact,2024,other channel,"Our formulas are backed by decades of research, so whether you're starting your baby formula, switching, or supplementing, you can count on Enfamil; The health and safety of infants and children is our top priority, and for that reason we are committed to providing a high quality and safe products for our littlest consumers; Our infant products undergo extensive quality and safety checks throughout the manufacturing process—from raw materials to finished products",PFAS,,"STEVENS, LC",multiple entities,food & beverage,website homepage,none,California UCL,injunction; restitution; attorney fees; punitive damages,"U.S. District Court, Northern District of California",pending,,,,No major rulings found on the PFAS/greenwashing case. The case appears to be in early proceedings stage.,"Hawes v. Mead Johnson & Company, LLC, et al.","U.S. District Court, Northern District of California",,"Filed: May 14, 2024",The PFAS greenwashing lawsuit against Enfamil alleges that Mead Johnson failed to disclose organic fluorine (PFAS) in infant formulas while marketing them as safe products committed to reducing environmental impact. The case was filed in May 2024 by plaintiff Joel Hawes with Stevens LC law firm representing. Third-party testing allegedly found dangerous levels of organic fluorine exceeding limits set by some state laws.,https://www.classaction.org/news/enfamil-lawsuit-says-infant-formula-contains-undisclosed-forever-chemicals | https://legalnewsline.com/stories/659509157-class-action-alleges-pfas-in-infant-formula | https://injuryclaims.com/news/exposure-to-toxic-substances/enfamil-pfas-lawsuit,TRUE,medium,
ECOS household cleaners and other products,https://truthinadvertising.org/class-action/ecos-products/,Aug./class action,"Non-toxic, earth friendly",2022,packaging,"non-toxic; safer; made without known carcinogens, reproductive toxins, or endocrine disruptors; climate positive; Earth Friendly; sustainable",non-toxic,non-toxic,"Orlowsky Law, LLC; Goffstein Law, LLC",corporation,household goods,front of pack,none,California UCL; California FAL; California CLRA; Missouri MMPA,damages; injunction; corrective advertising; restitution; attorney fees,"U.S. District Court, Eastern District of Missouri",settled (refund),,,,Case settled and voluntarily dismissed as to both named plaintiff's claims and class members' claims with monetary refunds provided to class members,"Delia De Santiago Lizama, et al. v. Venus Laboratories Inc.","U.S. District Court for the Eastern District of Missouri, Eastern Division",4:22-cv-00841,"Filed: August 11, 2022","Class action lawsuit alleging ECOS cleaning products were falsely marketed as 'non-toxic' and 'Earth friendly' when they contained harmful ingredients. The case was settled with class members receiving product refunds, continuing a pattern from a similar 2015 settlement involving the same company.",https://www.classaction.org/news/ecos-non-toxic-cleaning-products-contain-harmful-ingredients-class-action-alleges | https://topclassactions.com/lawsuit-settlements/consumer-products/household/ecos-class-action-alleges-products-non-toxic-claims-inaccurate/ | https://truthinadvertising.org/class-action/ecos-products/ | https://truthinadvertising.org/class-action/earth-friendly-household-cleaners-and-products/,FALSE,low,
Kroger disposable plates and bowls,https://truthinadvertising.org/class-action/compostable-plates-and-bowls-at-the-kroger-co/,June/class action,Compostable,2020,packaging,compostable,recyclable,compostable,Lexington Law Group,corporation,household goods,labels,none,California UCL,injunction; restitution; damages; attorney fees,"U.S. District Court, Northern District of California",settled (administrative and compliance costs only),,30/09/2021,https://truthinadvertising.org/wp-content/uploads/2021/10/Ambrose-v-Kroger-final-approval-order.pdf,Court granted final approval of settlement agreement and approved attorneys' fees. Settlement requires Kroger to remove all 'compostable' representations from Simple Truth disposable plates and bowls due to PFAS contamination.,David Ambrose v. The Kroger Co.,"U.S. District Court, Northern District of California",3:20-cv-04009-EMC,"Filed: June 16, 2020; Preliminary settlement approval: September 2, 2021; Final settlement approval hearing: September 30, 2021; Case terminated: September 30, 2021","This PFAS greenwashing lawsuit alleged Kroger's Simple Truth disposable plates and bowls were falsely marketed as 'compostable' when they contained PFAS chemicals that don't break down. The case was settled in September 2021, with Kroger agreeing to remove all compostable claims from the products.",https://www.courtlistener.com/docket/17255342/idb/ambrose-v-the-kroger-co/ | https://news.bloomberglaw.com/environment-and-energy/kroger-drops-compostable-claim-to-settle-pfas-lawsuit | https://www.lexlawgroup.com/kroger-class-action-settlement/ | https://truthinadvertising.org/class-action/compostable-plates-and-bowls-at-the-kroger-co/ | https://topclassactions.com/lawsuit-settlements/consumer-products/household/kroger-class-action-says-disposable-plates-contain-toxic-materials/ | https://pfascentral.org/news/if-you-purchased-kroger-simple-truth-branded-disposable-plates-bowls-andor-platters-a-class-action-settlement-may-affect-you | https://www.courtlistener.com/docket/17255342/ambrose-v-the-kroger-co/,TRUE,high,
Brooklyn Steel Cookware,https://truthinadvertising.org/class-action/brooklyn-steel-nonstick-cookware/,April/class action,Sustainable and good for the environment,2024,other channel,"naturally sustainable ceramic coating [which] is good for [consumers] & for the environment[,]; nonstick coating uses less oil & butter to promote healthier cooking",PFAS,,"Bursor & Fisher, P.A.",corporation,household goods,multiple locations,none,New York GBL 349,damages; injunction; restitution; attorney fees,"U.S. District Court, Southern District of New York",pending,,02/10/2024,,"Court granted defendant's motion for extension of time to answer, with defendant required to answer, move, or otherwise respond to the Second Amended Complaint by November 4, 2024","Lowry v. Brumis Imports, Inc.",U.S. District Court for the Southern District of New York,1:24-cv-02544,"Filed: April 3, 2024; One plaintiff (John Lowry) voluntarily dismissed August 30, 2024; Second Amended Complaint filed September 3, 2024; Defendant response due November 4, 2024","The case remains active with plaintiff Frieda Tawil proceeding alone after John Lowry voluntarily dismissed his claims. The court has granted an extension for the defendant's response to the Second Amended Complaint, with a deadline of November 4, 2024.",https://www.courtlistener.com/docket/68405095/lowry-v-brumis-imports-inc/ | https://topclassactions.com/lawsuit-settlements/consumer-products/household/brooklyn-steel-nonstick-cookware-contains-pfas-class-action-claims/ | https://www.classaction.org/news/brooklyn-steel-cookware-lawsuit-claims-nonstick-pots-and-pans-contain-forever-chemicals | https://www.classaction.org/media/lowry-et-al-v-brumis-imports-inc.pdf,TRUE,high,
"Oreo Cookies, Clif Bars, Toblerone, and Other Mondelez Products",https://truthinadvertising.org/class-action/mondelez-products/,Jan./class action,Sustainable,2024,packaging,100% sustainably sourced cocoa; help Cocoa Life cocoa farmers and their families flourish; protect people & planet,ingredients sourcing,cocoa,Richman Law & Policy,corporation,food & beverage,front of pack; back label,none,multiple states,damages; injunction; corrective advertising; restitution; attorney fees,"U.S. District Court, Northern District of Illinois",dismissed_with_prejudice,,27/10/2025,,"U.S. District Judge Manish Shah dismissed the lawsuit with prejudice, finding nothing wrong with the 'climate neutral certified' labels on Clif Kid Zbar products that reflected certification from the Change Climate Project, a nonprofit that helps companies reduce emissions. The court ruled the labels were truthful statements by a third party.","Salguero v. Mondelez International, Inc.",U.S. District Court for the Northern District of Illinois,1:25-cv-02139,"Filed: February 28, 2025; Motion to Dismiss filed: April 2025; Ruling: October 27, 2025","Plaintiff Cynthia Salguero sued Mondelez over 'climate neutral certified' labeling on Clif Kid Zbar products, alleging greenwashing and claiming the manufacturing process emits 54,000 tons of CO2 annually. Judge Shah dismissed the case with prejudice on October 27, 2025, ruling that the labels accurately reflected third-party certification from Change Climate Project and were not misleading to consumers.",https://www.insurancejournal.com/news/national/2025/10/29/845451.htm | https://energynews.oedigital.com/environment/2025/10/28/mondelez-defeats-greenwashing-lawsuit-over-climate-neutral-clif-bar-claim | https://www.newsbreak.com/reuters-555486/4319044418516-mondelez-defeats-greenwashing-lawsuit-over-climate-neutral-clif-bar-claim | https://www.courtlistener.com/docket/69693909/salguero-v-mondelez-international-inc/ | https://law.justia.com/cases/federal/district-courts/illinois/ilndce/1:2025cv02139/474145/35/ | https://www.law360.com/cases/67c22a9d88bbf8c12bb7d152?article_sidebar=1 | https://www.climatecasechart.com/document/salguero-v-mondelez-international-inc_4775,TRUE,high,
Hershey's Organic Chocolate Bars,https://truthinadvertising.org/class-action/hersheys-organic-chocolate-bars/,Jan./class action,Sustainable and ethically sourced,2024,packaging,People & Nature,ingredients sourcing,cocoa,Richman Law & Policy,multiple entities,food & beverage,front of pack,Rainforest Alliance,Illinois Consumer Fraud and Deceptive Business Practices Act,damages; injunction; restitution; attorney fees,"U.S. District Court, Northern District of Illinois, Eastern Division",pending,,,,,Eric Yeh v. The Hershey Company and Rainforest Alliance,"U.S. District Court, Northern District of Illinois",,Filed in 2024,"Class action lawsuit filed by Richman Law & Policy on behalf of Eric Yeh and others against Hershey Company and Rainforest Alliance for allegedly false and deceptive claims about child labor, labor practices, and deforestation related to Hershey's organic and plant-based chocolate products with Rainforest Alliance certification. The case appears to still be in early stages with no major rulings found.",https://www.sierraclub.org/sierra/rainforest-alliance-and-hershey-chocolate-sued-falsely-claiming-fair-labor-and-sustainability,TRUE,medium,
CleanChoice Energy,https://truthinadvertising.org/class-action/cleanchoice-energy/,Nov./classs action,"Clean, pollution-free, and from renewable sources",2023,other channel,"obtain[ing] your electricity from renewable sources provided by CleanChoice Energy; CleanChoice Energy will source wind and solar power from farms in your region; 100% clean, pollution-free energy",Renewable Energy,green energy/renewable energy,Wittels McInturff Palikovic,corporation,energy & utilities,direct mail marketing materials,none,New York GBL 349,damages; injunction; restitution; attorney fees,"U.S. District Court, Southern District of New York",appeal_decided,,27/08/2025,https://law.justia.com/cases/federal/appellate-courts/ca2/24-1988/24-1988-2025-08-27.html,"Second Circuit Court of Appeals affirmed the district court's denial of CleanChoice's motion to compel arbitration, finding that consumers were not bound by arbitration clauses that were silently mailed after the original contract was signed without clear and conspicuous notice or proper assent","Weinberg v. CleanChoice Energy, Inc.",U.S. District Court for the Southern District of New York (appealed to Second Circuit),"7:23-cv-09685 (S.D.N.Y.), 24-1988 (2d Cir.)","Filed: November 2023, District Court Ruling: July 17, 2024, Appeal Filed: July 2024, Second Circuit Decision: August 27, 2025","The 2023 CleanChoice Energy greenwashing class action filed by Wittels McInturff Palikovic overcame a major procedural hurdle when the Second Circuit affirmed that CleanChoice cannot force consumers into arbitration using terms mailed after contract signing. The case alleges CleanChoice deceived customers with false green energy claims and excessive pricing, and is now proceeding in federal court after the successful appeal.","https://wittelslaw.com/news/federal-appeals-court-agrees-cleanchoice-energy-cannot-force-customer-into-arbitration | https://law.justia.com/cases/federal/appellate-courts/ca2/24-1988/24-1988-2025-08-27.html | https://www.pacermonitor.com/public/case/51224895/Weinberg_et_al_v_CleanChoice_Energy,_Inc | https://www.classaction.org/media/sommer-v-cleanchoice-energy-inc_1.pdf | https://www.courtlistener.com/docket/69738696/weinberg-v-cleanchoice-energy-inc/ | https://law.justia.com/cases/federal/district-courts/new-york/nysdce/7:2023cv09685/609590/42/",TRUE,high,
Up & Up Sport Sunscreen Spray,https://truthinadvertising.org/class-action/up-up-sport-sunscreen-spray/,Nov./class action,Reef friendly,2023,packaging,reef-conscious formula,ingredients sourcing,Marine,"The Wright Law Office, P.A.",corporation,cosmetics & personal care,front of pack,none,Florida FDUTPA,damages;injunction;attorney fees,"U.S. District Court, Southern District of Florida",pending,,,,,Tivin v. Target Corp.,U.S. District Court for the Southern District of Florida,0:23-cv-62245,"Filed October 8, 2023","Class action lawsuit filed by Annet Tivin against Target Corp. alleging false advertising of Up & Up sunscreen products as 'reef-conscious' when they contain ingredients harmful to coral reefs. The case is seeking to represent U.S. consumers who purchased the products, with a California subclass for those who purchased within the past four years.",https://topclassactions.com/lawsuit-settlements/consumer-products/beauty-products/class-action-alleges-target-reef-conscious-sunscreen-contains-ingredients-dangerous-to-coral-reefs/ | https://www.classaction.org/news/class-action-alleges-target-falsely-advertised-up-and-up-sunscreen-as-reef-conscious | https://flarecord.com/stories/653890306-lawsuits-go-after-walmart-target-products-for-destroying-coral,TRUE,medium,
Made In Cookware (MIC) Non-Stick Cookware,https://truthinadvertising.org/wp-content/uploads/2023/11/Elseroad-v-Made-in-Cookware-complaint.pdf,Nov./class action,Non-toxic and PFOA-free,2023,other channel,100% non-toxic; made without PFOAs,PFAS,,Zimmerman Reed LLP; Johnson Firm; Kendall Law Group,corporation,household goods,website; product catalog; email advertisements,none,multiple states,damages; restitution; injunction; attorney fees,"U.S. District Court, Western District of Texas, Austin Division",summary_judgment,,12/07/2024,,"Court granted partial summary judgment for defendant on PFOA-free claims but denied summary judgment on '100% non-toxic' and 'safe' claims, which will proceed to trial as fact-intensive questions","Elseroad et al. v. Boston Foundry, Inc. d/b/a Made In Cookware","U.S. District Court for the Western District of Texas, Austin Division",1:23-cv-01449,Filed: 11/28/2023; Motion to Dismiss ruling: 07/24/2024; Partial Summary Judgment: 07/12/2024,"The court issued a partial ruling in July 2024, dismissing plaintiffs' claims about 'PFOA-free' marketing since the products contain PTFE (a different PFAS chemical), but allowing claims about '100% non-toxic' and 'safe' marketing to proceed. The case remains active with discovery and trial preparation ongoing.",https://courthousenews.com/made-in-forever-chemicals/ | https://law.justia.com/cases/federal/district-courts/texas/txwdce/1:2023cv01449/1172765946/35/ | https://dockets.justia.com/docket/texas/txwdce/1:2023cv01449/1172765946 | https://www.classaction.org/media/elseroad-et-al-v-boston-foundry-inc.pdf | https://topclassactions.com/lawsuit-settlements/consumer-products/household/boston-foundry-class-action-claims-cookware-falsely-advertised-as-nontoxic/,TRUE,high,
United Airlines,https://truthinadvertising.org/wp-content/uploads/2023/11/Zajac-v-United-Airlines-complaint.pdf,Nov./class action,"Sustainable fuel, 100% green and carbon neutral by 2050",2023,other channel,100% green; Carbon neutral by 2050; Eco-Skies; Now flying using sustainable aviation fuel (SAF)!,carbon credits,,"Sheehan & Associates, P.C.",corporation,automotive,multiple locations,none,Maryland Consumer Protection Act,damages; injunction; attorney fees,"U.S. District Court, District of Maryland, Southern Division",dismissed_with_prejudice,,13/08/2024,https://law.justia.com/cases/federal/district-courts/maryland/mddce/8:2023cv03145/548613/16/,"Court granted United's motion to dismiss with prejudice, finding that plaintiff's greenwashing claims under Maryland Consumer Protection Act were preempted by the federal Airline Deregulation Act because they related to airline pricing and services",Zajac v. United Airlines Inc.,U.S. District Court for the District of Maryland,8:23-cv-03145-PX,"Filed: November 19, 2023; Motion to Dismiss filed: February 12, 2024; Dismissed with prejudice: August 13, 2024","A class-action lawsuit alleging United Airlines misrepresented its sustainable aviation fuel usage and environmental claims was dismissed with prejudice on August 13, 2024. <cite index=""23-5,26-5"">District Court Judge Paula Xinis agreed and dismissed the claim with prejudice on Aug. 13.</cite> <cite index=""23-9,26-9"">The Court concluded that the MCPA claim relates to United's provision of transportation services and is therefore preempted by the Deregulation Act.</cite>",https://www.esgdive.com/news/united-airlines-saf-greenwashing-suit-dismissed-maryland-district-court/724376/ | https://www.legaldive.com/news/united-airlines-saf-greenwashing-suit-dismissed-maryland-district-court/724425/ | https://www.legalflightdeck.com/2024/08/articles/environment/greenwashing-lawsuit-against-airline-preempted-under-airline-deregulation-act/ | https://www.courtlistener.com/docket/68529376/zajac-v-united-airlines-inc/ | https://www.climatecasechart.com/document/zajac-v-united-airlines-inc_006e | https://law.justia.com/cases/federal/district-courts/maryland/mddce/8:2023cv03145/548613/16/ | https://topclassactions.com/lawsuit-settlements/travel/united-airlines-class-action-claims-company-makes-false-misleading-representations-about-environmental-initiatives/,TRUE,high,
Royal Dutch Airlines,https://truthinadvertising.org/wp-content/uploads/2023/11/Simijanovic-v-Koninklijke-Luchtvaart-Maatschappij-complaint.pdf,Nov./class action,Sustainable fuel and carbon offsets,2023,other channel,Fly Responsibly; Sustainability; CO2 neutral; CO2ZERO enables you to compensate for your share of the CO2 emitted during our flight; Flying on biofuel; Renewable sources such as used cooking oil can significantly reduce CO2 emissions in aviation to Make flying more sustainable,carbon credits,,"Sheehan & Associates, P.C.",corporation,other,website; exterior of planes; marketing materials,none,Michigan Consumer Protection Act,damages; attorney fees,"U.S. District Court, Eastern District of Michigan",motion_to_dismiss_granted,,26/08/2024,,"Federal district court dismissed all claims under the Airline Deregulation Act preemption, finding that both Virginia Consumer Protection Act and breach of contract claims were preempted because they related to airline services","Long v. Koninklijke Luchtvaart Maatschappij, N.V.",U.S. District Court for the Eastern District of Virginia,3:23-cv-435,"Filed 2023; Motion to dismiss granted August 26, 2024",The court dismissed KLM greenwashing claims alleging misleading 'Fly Responsibly' marketing about carbon offsets and sustainable aviation fuel. The Airline Deregulation Act preempted both state consumer protection and breach of contract claims because they related to airline services and advertising.,https://climatecasechart.com/case/long-v-koninklijke-luchtvaart-maatschappij-nv/ | https://valawyersweekly.com/2024/09/16/consumer-protection-airline-deregulation-act-preempts-passengers-deceptive-practices-claims/ | https://www.troutman.com/insights/the-edva-shows-its-reluctance-to-transfer-cases-brought-by-virginia-plaintiffs.html,TRUE,medium,
equate sunscreens,https://truthinadvertising.org/wp-content/uploads/2023/11/Alvarado-v-Walmart-complaint.pdf,Nov./class action,Reef Friendly,2023,packaging,Reef Friendly,ingredients sourcing,Marine,"The Wright Law Office, P.A.",corporation,cosmetics & personal care,front of pack,none,Florida FDUTPA,damages; injunction; attorney fees,"U.S. District Court, Middle District of Florida, Tampa Division",pending,,,,No rulings found - case appears to still be in early stages,Alvarado v. Walmart Inc.,"U.S. District Court for the Middle District of Florida, Tampa Division",8:23-CV-02592-SDM-SPF,"Filed in 2023, lawsuit reported in legal news as of May 2024","Class action lawsuit filed by Nakiah Alvarado against Walmart alleging false advertising of Equate sunscreens as 'reef friendly' when they contain coral reef-harmful chemicals like avobenzone, homosalate, octisalate and octocrylene. Case appears to still be pending with no recent court rulings or settlements found.",https://legalnewsline.com/stories/652788042-lawsuit-accuses-walmart-of-killing-coral-reef | https://flarecord.com/stories/653890306-lawsuits-go-after-walmart-target-products-for-destroying-coral | https://topclassactions.com/lawsuit-settlements/consumer-products/household/recent-sunscreen-class-actions-allege-false-advertising/ | https://www.classaction.org/news/class-action-lawsuit-claims-walmart-falsely-advertised-equate-sunscreen-as-reef-friendly | https://thelyonfirm.com/blog/is-walmart-equate-sunscreen-really-reef-friendly/,TRUE,medium,
The Period Co.,https://truthinadvertising.org/wp-content/uploads/2023/11/Brewer-v-The-Period-Co-complaint.pdf,Nov./class action,"Waste-free, non-toxic, sustainable, ""kind to the ... Planet""",2023,other channel,waste-free; non-toxic; sustainable; kind to the user and to the Planet; PFAS-free; tested and found to be PFAS-free,PFAS,,"Law Offices of Robert G. Loewy, P.C.",corporation,cosmetics & personal care,website homepage; product page; social media; Amazon store,none,California UCL; California CLRA; California FAL; multiple states,damages; injunction; corrective advertising; restitution; attorney fees,"U.S. District Court, Central District of California",unknown,,,,,,"U.S. District Court, Central District of California (as provided)",,,"Unable to locate current information about The Period Co. greenwashing lawsuit through independent court databases, legal news sources, or official court records. No evidence found of recent rulings, settlements, or case activity.",,FALSE,low,
Renpure hair care products,https://truthinadvertising.org/wp-content/uploads/2023/11/Nersisyan-v-Mav-beauty-brands-complaint.pdf,Oct./class action,Plant-based,2023,packaging,Plant-Based; plant based; PLANT BASED,ingredients sourcing,plant-based,"Clarkson Law Firm, P.C.",multiple entities,cosmetics & personal care,front of pack,none,California UCL; California FAL; California CLRA,damages; injunction; restitution; attorney fees; punitive damages,"U.S. District Court, Central District of California",unknown,,,,Unable to determine current status due to limited publicly available information,"Nersisyan et al. v. MAV Beauty Brands, Inc., Marc Anthony Cosmetics, Inc. and Renpure, LLC","U.S. District Court, Central District of California",2:23-cv-09035,"Filed: October 26, 2023; MAV Beauty Brands asset sale approved: November 24, 2023","Class action alleging false plant-based marketing claims was filed in October 2023, but the defendant company underwent major restructuring and asset sale in late 2023. Current litigation status unclear due to corporate changes and limited public docket information.",https://dockets.justia.com/docket/california/cacdce/2:2023cv09035/903465 | https://truthinadvertising.org/class-action/renpure-hair-care-products/ | https://www.newswire.ca/news-releases/mav-beauty-brands-receives-court-approval-of-sale-of-substantially-all-of-its-assets-to-nexus-capital-management-803832862.html | https://www.goodmans.ca/expertise/case/mav-beauty-brands-inc.'s-restructuring-proceedings,TRUE,low,
Keurig Green Mountain coffee pods,https://truthinadvertising.org/class-action/keurig-green-mountain-plastic-coffee-pods/,Sept./class action,Recyclable,2018,packaging,"Have [your] cup and recycle it, too; PEEL, EMPTY, RECYCLE",recyclable,small plastic pods,Lexington Law Group,corporation,food & beverage,front of pack,none,California UCL; California CLRA,injunction; corrective advertising; restitution; damages; attorney fees,"Superior Court of California, County of Alameda",settled,"10,000,000",17/03/2023,,Final judgment approving the class action settlement requiring Keurig to pay $10 million and modify labeling with disclaimer 'Check Locally - Not Recycled in Many Communities',"Smith v. Keurig Green Mountain, Inc.",U.S. District Court for the Northern District of California,4:18-cv-06690-HSG,"Filed: November 2018; Class certified: September 2020; Settlement reached: October 2021; Preliminary approval: July 2022; Final approval hearing: December 8, 2022; Final judgment: March 17, 2023; Claims deadline: January 9, 2023","The lawsuit alleged Keurig misled consumers by labeling K-Cups as recyclable when they are too small to be processed by most recycling facilities. The case was settled for $10 million with final court approval in March 2023, requiring Keurig to modify labeling with recycling disclaimers and pay class members between $5-36 per household.",https://resource-recycling.com/plastics/2021/12/01/keurig-agrees-to-settle-coffee-pod-recyclability-suit/ | https://climatecasechart.com/case/smith-v-keurig-green-mountain-inc/ | https://resource-recycling.com/recycling/2022/03/01/keurig-agrees-to-10-million-settlement-recycling-disclaimer/ | https://www.kcupsrecyclingsettlement.com/ | https://topclassactions.com/lawsuit-settlements/closed-settlements/keurig-recyclable-k-cups-false-advertising-10m-class-action-settlement/ | https://www.nbcnewyork.com/news/national-international/today-is-your-last-day-to-claim-money-from-the-keurig-k-cup-recycling-suit-settlement/4037085/ | https://law.justia.com/cases/federal/district-courts/california/candce/4:2018cv06690/334268/168/ | https://news.bloombergtax.com/class-action/keurig-consumers-settle-suits-over-claims-pods-are-recyclable | https://coffeegeography.com/2021/12/11/keurig-green-mountain-reached-coffee-pod-class-action-settlement-with-the-plaintiff/ | https://unicourt.com/case/pc-db1-smith-v-keurig-green-mountain-inc-890205,TRUE,high,
The Coffee Bean & Tea Leaf,https://truthinadvertising.org/wp-content/uploads/2023/10/Fisher-v-International-Coffee-and-Tea-copy.pdf,Aug./class action,Sustainable and earth friendly,2023,other channel,"Coffee Bean and Tea Leaf is proud of its commitment to quality and sustainability; As native Californians, we have always cared deeply about conservation and sustainability. As an organization, we have implemented many practices to reduce waste and contribute to a healthier, happier world. We believe sustainability is a chance for all of us to make better daily choices...; We nurture long lasting relationships with our growers. We support their Earth-friendly growing practices and social responsibility standards, particularly the conscientious way they treat their workers and families",other,sustainability,"Sullivan & Yaeckel Law Group, APC",LLC,food & beverage,labeling and packaging; website; marketing tools,none,California UCL,injunction; restitution; corrective advertising; attorney fees; damages,"Superior Court of California, County of San Diego",pending,,,,,"Unknown plaintiff v. International Coffee & Tea, LLC","Superior Court of California, County of San Diego (based on provided information)",,"Filed 2023 (based on provided information); Related federal case Chaffin v. International Coffee & Tea LLC filed First Amended Complaint September 6, 2024","The Coffee Bean & Tea Leaf faces greenwashing allegations over claims that products are sustainably sourced and earth-friendly. While multiple lawsuits exist against the company, the specific San Diego Superior Court case could not be independently verified beyond truthinadvertising.org's listing as pending.",https://www.classaction.org/news/coffee-bean-and-tea-leaf-products-falsely-advertised-as-sustainably-sourced-class-action-says | https://truthinadvertising.org/articles/companies-accused-greenwashing/ | https://www.courtlistener.com/docket/68444397/carolyn-chaffin-v-international-coffee-tea-llc/,FALSE,low,
Slashop,https://truthinadvertising.org/class-action/slashop/,Aug./class action,Eco-friendly,2023,other channel,Bamboo,ingredients sourcing,bamboo,Law Offices of Mark Schlachet,corporation,household goods,website,none,New York GBL 349,damages; injunction; corrective advertising; attorney fees,"U.S. District Court, Southern District of New York",unknown,,,,,"Shea et al. v. Slashop, Inc.","U.S. District Court, Southern District of New York",23-cv-7488,Filed August 2023,"Class action lawsuit alleging Slashop falsely marketed textile products as 'bamboo' with eco-friendly implications when they were actually made of rayon, which involves manufacturing processes that emit hazardous pollutants. The case appears to still be pending as of the last available information from August 2023.",https://truthinadvertising.org/class-action/slashop/ | https://www.linkedin.com/company/slashop,FALSE,low,
